id,equ_id,location,subdistric,distric,provine,lat,lng
292,WJ10,บ้านเกาะทรายดำหน้านอก ม.5,หงาว,เมือง,ระนอง,9.76367,98.51185
293,WJ11,บ้านเกาะพยาม ม.1,เกาะพยาม,เมือง,ระนอง,9.95419,98.62352
294,WJ12,บ้านเกาะช้าง ม.2,เกาะพยาม,เมือง,ระนอง,9.8413,98.44311
295,WJ13,บ้านเกาะคณฑี ม.2,ปากน้ำ,เมือง,ระนอง,9.74225,98.39963
296,WJ25,ท่าเทียบเรือแหลมพ่อตา บ้านบางหิน,บางหิน,กะเปอร์,ระนอง,9.561058,98.560315
297,WJ26,อาคารหลบภัยสึนามิ บ้านหินช้าง ม.3,ปากน้ำ,เมืองระนอง,ระนอง,10.053851,98.642657
298,WK01,บ้านปากบารา หมู่ที่ 2,ปากน้ำ,ละงู,สตูล,6.85533,99.72572
299,WK02,บ้านบ่อเจ็ดลูก หมู่ที่ 1,ปากน้ำ,ละงู,สตูล,6.87175,99.7008
300,WK03,บ้านตันหยงกาโบย หมู่ที่ 2,เมือง,เมือง,สตูล,6.5083,100.09643
301,WK04,อุทยานแห่งชาติเกาะตารุเตา,ปากน้ำ,เมือง,สตูล,6.49141,99.30883
302,WK05,เกาะหลีเป๊ะ หมู่ที่ 7,เกาะสาหร่าย,เมือง,สตูล,6.491799,99.308489
303,WK06,โรงเรียนบ้านบุโบย หมู่ที่ 3,แหลมสน,ละงู,สตูล,6.94883,99.6909
304,WK07,บ้านมะหลัง ม.1,ทุ่งบุหลัง,ทุ่งหว้า,สตูล,7.06881,99.69308
305,WK08,บ้านทุ่งริ้น ม.1,สาคร,ท่าแพ,สตูล,6.74664,99.91931
306,WK09,โรงเรียนบ้านเกาะสาหร่ายชัยพัฒนา,เกาะสาหร่าย,เมือง,สตูล,6.66597,99.85502
307,WK10,ข้างโรงสีข้าวชุมชนบ้านเกาะระยะโตดนุ้ย หมู่ที่ 4,เกาะสาหร่าย,เมือง,สตูล,6.68019,99.86691
308,WK11,โรงเรียนบ้านเกาะบุโหลน (ดอน) หมู่ที่ 3,ปากน้ำ,ละงู,สตูล,6.85741,99.59166
309,WK12,บ้านตันหยงกลิง หมู่ที่ 3,เกาะสาหร่าย,เมือง,สตูล,6.70497,99.86338
310,WK13,บ้านเกาะยาว หมู่ที่,ปูยู,เมือง,สตูล,6.46635,100.07375
311,WK14,หาดราไวย์ หมู่ที่ 4,ขอนคลาน,ทุ่งหว้า,สตูล,6.9999,99.67137
312,WK15,บ้านตันหยงอุมา หมู่ 1,เกาะสาหร่าย,เมือง,สตูล,6.73182,99.8541
313,WK16,บ้านบากันใหญ่ หมู่ 2,เกาะสาหร่าย,เมือง,สตูล,6.71524,99.84344
314,WK17,บ้านสนกลาง หมู่ 4,แหลมสน,ละงู,สตูล,6.91612,99.68516
315,WK18,บ้านตันหยงโป,ตันหยงโป,เมือง,สตูล,6.59136,99.95687
316,WK19,บ้านหาดทรายยาว,ตันหยงโป,เมือง,สตูล,6.61625,99.95156
317,WK20,บ้านปากบาง หมู่ 2,ละงู,ละงู,สตูล,6.8315,99.78995
318,WK21,โรงเรียนบ้านตันหยงละไน้,แหลมสน,ละงู,สตูล,6.96584,99.68706
319,WK22,บ้านทุ่งสะโบ๊ะ หมู่ 2,ทุ่งบุหลัง,ทุ่งหว้า,สตูล,7.02563,99.67624
320,WN01,ร.ร.บ้านแหลมขาม,เขาไม้แก้ว,สิเกา,ตรัง,7.6252,99.27065
321,WN02,อ่าวพังกา ม.2,เกาะลิบง,กันตัง,ตรัง,7.36376,99.30141
322,WN03,เกาะกระดาน,เกาะลิบง,กันตัง,ตรัง,7.30898,99.2592
323,WN04,โรงเรียนบ้านเกาะมุกต์,เกาะลิบง,กันตัง,ตรัง,7.35633,99.29722
324,WN05,เกาะสุกร,เกาะสุกร,ปะเหลียน,ตรัง,7.09061,99.60333
325,WN06,โรงเรียนบ้านหลังเขา ม. 5,เกาะลิบง,กันตัง,ตรัง,7.22447,99.36708
326,WN07,เกาะหลาวเหลียงเหนือ,เกาะสุกร,ปะเหลียน,ตรัง,7.12053,99.42537
